author	birth	death	origin
Edwin Morgan	1920	2010	Scotland
Eileen Chang	1920	1995	China/US
Einar Ragnarsson Kvaran	1920	2012	Iceland/US
Elaine Morgan	1920	2013	Wales/England
Frank Herbert	1920	1986	US
George Bazeley Scurfield	1920	1991	England
George Porter	1920	2002	England
Gesualdo Bufalino	1920	1996	Italy
Gianni Rodari	1920	1980	Italy
Glanmor Williams	1920	2005	Wales
Hanns Cibulka	1920	2004	Czechoslovakia/Germany
Hardiman Scott	1920	1999	England
Harri Webb	1920	1995	Wales
Henry Chadwick	1920	2008	England
Hiroyuki Agawa	1920	2015	Japan
Howard Nemerov	1920	1991	US
Hubert Lampo	1920	2006	Belgium
Isaac Asimov	1920	1992	USSR/US
Ishigaki Rin	1920	2004	Japan
Isobel English	1920	1994	England
Jaan Kross	1920	2007	USSR/Estonia
Jan Carew	1920	2012	British Guiana/US
Jan Olof Olsson	1920	1974	Sweden
Jan Rabie	1920	2001	S Africa
Jens Bjørneboe	1920	1976	Norway
João Cabral de Melo Neto	1920	2009	Brazil
José Mauro de Vasconcelos	1920	1984	Brazil
Joseph Fitzmyer	1920	2016	US
Jozve Javorsvek	1920	1990	Yugoslavia
Keith Douglas	1920	1944	England/France
Kjell Aukrust	1920	2002	Norway
Ludvík Kundera	1920	2010	Czechoslovakia/Czech Republic
Malkat al-Dar Muhammad	1920	1969	Sudan
Marcel Reich-Ranicki	1920	2013	Poland/Germany
Marga Minco	1920	*	Netherlands
Margaret Alington	1920	2012	N Zealand
Marguerite Hamilton	1920	1998	US
Maria Beig	1920	2018	Germany
Mario Benedetti	1920	2009	Uruguay
Mario Puzo	1920	1999	US
Marjorie Pizer	1920	2016	Australia
Marlen Haushofer	1920	1970	Austria
Mehdi Ben Barka	1920	1965	
Mohammed Dib	1920	2003	Algeria
Ndabaningi Sithole	1920	2000	S Rhodesia/Zimbabwe
Olga Orozco	1920	1999	Algeria
Oodgeroo Noonuccal	1920	1993	Australia
P. D. James	1920	2014	England
Paul Celan	1920	1970	Romania/France
Paul Scott	1920	1978	England
Philippa Foot	1920	2010	England
Philippa Pearce	1920	2006	England
Pierre Berton	1920	2004	Canada
Ragnhild Magerøy	1920	2010	Norway
Randolph Quirk	1920	2017	Isle of Man/England
Ray Bradbury	1920	2012	US
Richard Adams	1920	2016	England
Rosemary Dobson	1920	2012	Australia
Rosemary Sutcliff	1920	1992	England
Ruth Chew	1920	2010	US
Sam Moskowitz	1920	1997	US
Sh Yasuoka	1920	2013	Japan
Sid Fleischman	1920	2010	US
Slavko Janevski	1920	2000	Yugoslavia/N Macedonia
Solange Hertz	1920	2015	US
Sylvester Stein	1920	2015	S Africa
Ursula Dronke	1920	2012	England
Väinö Linna	1920	1992	Finland
Willi Heinrich	1920	2005	Germany
William Garner	1920	2005	England
Wolfdietrich Schnurre	1920	1989	Germany
Zaim Topcvic'	1920	1990	Yugoslavia/Bosnia-Herzegovina
Zdenka Zvebre	1920	2011	Yugoslavia/Slovenia
Zheng Min	1920	2022	China
Adebayo Faleti	1921	2017	Nigeria
Aled Eames	1921	1996	Wales
Alex Haley	1921	1992	US
Alfred Lansing	1921	1975	US
Andrea Zanzotto	1921	2011	Italy
Asa Briggs	1921	2016	England
Augusto Monterroso	1921	2003	Honduras/Mexico
Barbara Margaret Trimble	1921	1995	Wales
Beria Onger	1921	2015	Turkey
Bernard Waber	1921	2013	US
Blazve Koneski	1921	1993	Yugoslavia/N Macedonia
Boris Aprilov	1921	1995	Bulgaria
Brian Cleeve	1921	2003	England/Ireland
Bruce Mason	1921	1982	N Zealand
Carlos de Oliveira	1921	1981	Portugal
Chabua Amirejibi	1921	2013	USSR/Georgia
Chester Kallman	1921	1975	US
Christopher Derrick	1921	2007	England
Claude Vigée	1921	2020	France/Israel
Cyprian Ekwensi	1921	2007	Nigeria
Daniel Berrigan	1921	2016	US
Dimitris Tsaloumas	1921	2016	Greece/Australia
Dobrica C'osic'	1921	2014	Yugoslavia/Serbia
Einar Bragi	1921	2005	Iceland
Elena Quiroga	1921	1995	Spain
Elinor Lyon	1921	2008	England/Wales
Elizabeth Harrison	1921	2008	England
Erich Fried	1921	1988	Austria/England
Farley Mowat	1921	2014	Canada
Ferenc Karinthy	1921	1992	Hungary
Fodéba Keïta	1921	1969	Guinea
Francisco José Tenreiro	1921	1963	São Tomé and Príncipe/Portugal
Friedrich Dürrenmatt	1921	1990	Switzerland
Gabriel Okara	1921	2019	Nigeria
Gakaara wa Wanja	1921	2001	Kenya
Gene Roddenberry	1921	1991	US
George Mackay Brown	1921	1996	Scotland
Georges Brassens	1921	1981	France
Giorgio Orelli	1921	2013	Switzerland
Gunvor Hofmo	1921	1995	Norway
H. C. Artmann	1921	2000	Austria
Hans Koning	1921	2007	Netherlands
Hans Warren	1921	2001	Netherlands
Hao Wang	1921	1995	China
Harry Järv	1921	2009	Finland/Sweden
Hayden Carruth	1921	2008	US
Helmut Heißenbüttel	1921	1996	Germany
Hermann Pálsson	1921	2002	Iceland
Hilary Corke	1921	2001	England
Holdemar Menezes	1921	1996	Brazil
Ilse Aichinger	1921	2016	Austria
Ivan Shamiakin	1921	2004	USSR/Belarus
Ivan Southall	1921	2008	Australia
Jaime Sáenz	1921	1986	Bolivia
James Blish	1921	1975	US
János Horváth	1921	2019	Hungary/US
János Pilinszky	1921	1981	Hungary
Jens Bjerre	1921	2020	Denmark
John Buxton Hilton	1921	1986	England
John Millett	1921	2019	Australia
John Rawls	1921	2002	US
Jón Óskar	1921	1998	Iceland
Joseph Hanson Kwabena Nketia	1921	2019	Gold Coast/Ghana
Joseph Wilfred Abruquah	1921	*	Gold Coast/Ghana
Julia Hartwig	1921	2017	Poland
Junz Sh	1921	2009	Japan
Karel van het Reve	1921	1999	Netherlands
Kole Cvasvule	1921	2009	Yugoslavia/N Macedonia
Kosuke Gomi	1921	1980	Japan
Krzysztof Kamil Baczy	1921	1944	Poland
Lars Gyllensten	1921	2006	Sweden
Leon Garfield	1921	1996	England
Leonardo Sciascia	1921	1989	Italy
Lex Banning	1921	1965	Australia
Lorraine Copeland	1921	2013	Scotland/France
Marie Ponsot	1921	2019	US
Marion Eames	1921	2007	Wales
Mary Douglas	1921	2007	Italy/England
Mary Hocking	1921	2014	England
Max Harris	1921	1995	Australia
Max Kruse	1921	2015	Germany
Mohamed Aïchaoui	1921	1959	Algeria
Mona Van Duyn	1921	2004	US
Mordecai Roshwald	1921	2015	Poland/US
Mustafa Mahmoud	1921	2009	Egypt
Nan McDonald	1921	1974	Australia
Nanos Valaoritis	1921	2019	Greece/US
Necati Cumalı	1921	2001	Turkey
Nilima Ibrahim	1921	2002	India/Bangladesh
Nina Lagergren	1921	2019	Sweden
Paragu	1921	2011	Burma/Myanmar
Patricia Highsmith	1921	1995	US/Switzerland
Patricia Wrightson	1921	2010	Australia
Paul Guimard	1921	2004	France
Pauline Clarke	1921	2013	England
Richard Wilbur	1921	2017	US
Russell Braddon	1921	1995	Australia
Satyajit Ray	1921	1992	India
Simin Daneshvar	1921	2012	Iran
Stanisl/aw Lem	1921	2006	Poland
Svetislav Mandic'	1921	2003	Serbia/Montenegro
T C Ivens	1921	1988	England
Tadeusz Ró	1921	2014	Poland
Tamás Aczél	1921	1994	Hungary
Todd Matshikiza	1921	1968	S Africa
Tony Jónsson	1921	2001	Iceland
Vojin Jelic'	1921	2004	Yugoslavia/Croatia
Vusamazulu Credo Mutwa	1921	2020	S Africa
Vytautas Macvernis	1921	1944	Lithuania
Willem Frederik Hermans	1921	1995	Netherlands
Willy Kyrklund	1921	2009	Finland/Sweden
Wilson Harris	1921	2018	British Guiana/England
Witold Zalewski	1921	2009	Poland
Wolfgang Borchert	1921	1947	Germany/Switzerland
Yusuf Atılgan	1921	1989	Ottoman E/Turkey
Ágnes Nemes Nagy	1922	1991	Hungary
Agostinho Neto	1922	1979	Angola
Agustina Bessa-Luís	1922	2019	Portugal
Ahmed Sékou Touré	1922	1984	Guinea
Alain Robbe-Grillet	1922	2008	France
Alan Ross	1922	2001	India/England
Alberto Granado	1922	2011	Argentina/Cuba
Alexander Zinovyev	1922	2006	USSR/Russia
Angel Wagenstein	1922	*	Bulgaria
Ann Katharine Mitchell	1922	2020	England/Scotland
Antonio di Benedetto	1922	1986	Argentina
Arsen Diklic'	1922	1995	Yugoslavia/Serbia
Arturo Andrés Roig	1922	2012	Argentina
Beppe Fenoglio	1922	1963	Italy
Bill Pearson	1922	2002	N Zealand
Björn Th. Björnsson	1922	2007	Iceland
Blaga Dimitrova	1922	2003	Bulgaria
Bogdan Bogdanovic'	1922	2010	Yugoslavia/Austria
Borislav Mihajlovic' Mihiz	1922	1997	Yugoslavia
Chairil Anwar	1922	1949	Dutch E Indies/Indonesia
Charlotte MacLeod	1922	2005	Canada/US
Christian Dotremont	1922	1979	Belgium
Christine Cole Catley	1922	2011	N Zealand
Damon Knight	1922	2002	US
Daniel Boulanger	1922	2014	France
Dejan Medakovic'	1922	2008	Yugoslavia/Serbia
Dias Gomes	1922	1999	Brazil
Dick King-Smith	1922	2011	England
Djibo Bakary	1922	1998	Niger
Donald Davie	1922	1995	England
Duncan Forbes	1922	1994	Scotland
Dusvko Radovic'	1922	1984	Yugoslavia
Ebrahim Golestan	1922	*	Iran/England
Edmund Snow Carpenter	1922	2011	US
Edward Jablonski	1922	2004	US
Elena Topuridze	1922	2004	USSR/Georgia
Elsa Joubert	1922	2020	S Africa
Elvira Orphée	1922	2018	Argentina
Emilio F. Mignone	1922	1998	Argentina
Erika Burkart	1922	2010	Switzerland
Etienne Leroux	1922	1989	S Africa
Eve Titus	1922	2002	US
Freddie Anderson	1922	2001	Ireland/Scotland
Futaro Yamada	1922	2001	
Geoffrey Dutton	1922	1998	Australia
Grace Paley	1922	2007	US
Gwen Kelly	1922	2012	Australia
Gwendoline Butler	1922	2013	England
Haim Zafrani	1922	2004	Morocco/France
Hana Ponická	1922	2007	Czechoslovakia/Slovakia
Hannes Sigfússon	1922	1997	Iceland
Henri Chopin	1922	2008	France
Hesba Fay Brinsmead	1922	2003	Australia
Hone Tuwhare	1922	2008	N Zealand
Howard Moss	1922	1987	US
Howard Zinn	1922	2010	
Jack Kerouac	1922	1969	US
Jama Omar Issa	1922	2014	Somalia
Jane Langton	1922	2018	US
John Braine	1922	1986	England
John Gillespie Magee Jr.	1922	1941	China/England
John Postgate	1922	2014	England
José Craveirinha	1922	2003	Mozambique
José Saramago	1922	2010	Portugal/Spain
Joseph Friedenson	1922	2013	Poland/US
Joseph Ki-Zerbo	1922	2006	Burkina Faso
Juhan Smuul	1922	1971	Estonia
Julius Nyerere	1922	1999	Tanzania
Keith Sinclair	1922	1993	N Zealand
Kingsley Amis	1922	1995	England
Kola Onadipe	1922	1988	Nigeria
Kristján Karlsson	1922	2014	Iceland
Kurt Vonnegut	1922	2007	US
Lilli Promet	1922	2007	Estonia
Lionel Davidson	1922	2009	England
Luís Romano de Madeira Melo	1922	2010	Cape Verde/Brazil
Luis Villoro	1922	2014	Mexico
Manuel A. Alonso Pacheco	1922	1989	Puerto Rico
Marco Denevi	1922	1998	Argentina
Marin Preda	1922	1980	Romania
Maurice Duggan	1922	1974	N Zealand
Miguel Hesayne	1922	2019	Argentina
Mildred Pitts Walter	1922	*	US
Mirko Aksentijevic'	1922	2011	Yugoslavia/Serbia
Miron Bial/oszewski	1922	1983	Poland
Mohammed al-Habib al-Fourkani	1922	2008	Morocco
Mohammed Aziz Lahbabi	1922	1993	Morocco
Nicholas Stuart Gray	1922	1981	Scotland/England
Nigel Kneale	1922	2006	Isle of Man/England
Per Olof Sundman	1922	1992	Sweden
Peter Bladen	1922	2001	Australia
Philip Larkin	1922	1985	England
Povel Ramel	1922	2007	Sweden
Rachel Cosgrove Payes	1922	1998	US
Radoy Ralin	1922	2004	Bulgaria
Ronald Blythe	1922	2023	England
Ronald Hugh Morrieson	1922	1972	N Zealand
Rudolf Lorenzen	1922	2013	Germany
Ruth Bidgood	1922	2022	Wales
Ruth Rehmann	1922	2016	Germany
Sergey Izgiyayev	1922	1972	USSR
Sidney Keyes	1922	1943	England/Tunisia
Sinan Hasani	1922	2010	Yugoslavia/Serbia
Stan Lee	1922	2018	US
Stanlake J. W. T. Samkange	1922	1988	S Rhodesia/Zimbabwe
Syed Ali Ahsan	1922	2002	India/Bangladesh
Syed Waliullah	1922	1971	India/France
Tadeusz Gajcy	1922	1944	Poland
Terje Stigen	1922	2010	Norway
Tomás Maldonado	1922	2018	Argentina
Vasko Popa	1922	1991	Yugoslavia/Serbia
William Gaddis	1922	1998	US
William Manchester	1922	2004	US
William Taylor	1922	2014	US
A. C. Baantjer	1923	2010	Netherlands
Aco Svopov	1923	1982	Yugoslavia
Ahmed Mahsas	1923	2013	Algeria
Álvaro Mutis	1923	2013	Colombia
Antonije Isakovic'	1923	2002	Yugoslavia
Antony Flew	1923	2010	England
Aristides Fraga Lima	1923	1996	
Aristides Paradissis	1923	2006	China/Australia
Arnljot Eggen	1923	2009	Norway
Artur Alliksaar	1923	1966	Estonia/USSR
Avram Davidson	1923	1993	US
Bernice Rubens	1923	2004	Wales/England
Beth Chatto	1923	2018	England
Betty Gilderdale	1923	2021	N Zealand
Carter Brown	1923	1985	England/Australia
Charmian Clift	1923	1969	Australia
Cheikh Anta Diop	1923	1986	Senegal
Cyril M. Kornbluth	1923	1958	US
Dannie Abse	1923	2014	Wales
David Holbrook	1923	2011	England
David Morley	1923	2009	England
Denise Levertov	1923	1997	England/US
Desmond Bagley	1923	1983	England
Dick Scott	1923	2020	N Zealand
Doris Burn	1923	2011	US
Dorothy Hewett	1923	2002	Australia
Eduard Asadov	1923	2004	USSR/Russia
Elizabeth Jane Howard	1923	2014	England
Elizabeth Jolley	1923	2007	England/Australia
Emma Smith	1923	2018	England
Erik Amdrup	1923	1998	Denmark
Eugen Semitjov	1923	1987	Sweden
Eugene Sledge	1923	2001	US
Eugenio Cruz Vargas	1923	2014	Chile
Eugénio de Andrade	1923	2005	Portugal
Eva Zeller	1923	2022	Germany
Fernando Sabino	1923	2004	Brazil
Francis Huxley	1923	2016	England
Francis King	1923	2011	Switzerland/England
Galo René Pérez	1923	2008	Ecuador
Gerard Reve	1923	2006	Netherlands
Gideon Joubert	1923	2010	S Africa
Gloria Olive	1923	2006	US/N Zealand
Gloria Whelan	1923	*	US
Gordon R. Dickson	1923	2001	Canada/US
H. A. Murena	1923	1975	Argentina
Haralamb Zincau	1923	2008	Romania
Herbert Chitepo	1923	1975	S Rhodesia/Zimbabwe
Hitomi Yamaguchi	1923	1995	Japan
Ivor Cutler	1923	2006	Scotland/England
Jack Sendak	1923	1995	US
Jacobo Timerman	1923	1999	USSR/Argentina
Jakov Xoxa	1923	1979	Albania/Hungary
Jalal Al-e-Ahmad	1923	1969	Iran
James Dickey	1923	1997	US
James Schuyler	1923	1991	US
Janos Bardi	1923	1990	Hungary/Germany
Janos Bardi	1923	1990	Hungary/Germany
Jean Merrill	1923	2012	US
Jerome Bixby	1923	1998	US
John Blackburn	1923	1993	England
John Mortimer	1923	2009	England
Joseph Heller	1923	1999	US
Judith Kerr	1923	2019	Germany/England
June Drummond	1923	2011	S Africa
Kabir Chowdhury	1923	2011	India/Bangladesh
Karen Gershon	1923	1993	Germany/England
Kenneth S. Lynn	1923	2001	US
Louis Simpson	1923	2012	Jamaica/US
Lygia Fagundes Telles	1923	*	Brazil
Marcel Marceau	1923	2007	France
March Laumer	1923	2000	US
Margaret Johansen	1923	2013	Norway
Margaret Jones	1923	2006	Australia
Maria Gripe	1923	2007	Sweden
Mário Cesariny de Vasconcelos	1923	2006	Portugal
Mário Cesariny de Vasconcelos	1923	2006	Portugal
Mihailo Markovic'	1923	2010	Yugoslavia/Serbia
Milton Acorn	1923	1986	US
Mohammed Zniber	1923	1993	Morocco
Motiram Bhatta	1923	1953	Nepal
Myint Myint Khin	1923	2014	Burma/Myanmar
Nadine Gordimer	1923	2014	S Africa
Nan Nyunt Swe	1923	2010	Burma/Myanmar
Nancy Keesing	1923	1993	Australia
Natália Correia	1923	1993	Portugal
Nazik Al-Malaika	1923	2007	Iraq
Norman Mailer	1923	2007	US
Olga Stringfellow	1923	*	N Zealand/England
Otfried Preußler	1923	2013	Czechoslovakia/Germany
Ousmane Sembène	1923	2007	Senegal
Paal Brekke	1923	1993	Norway
Patrick Moore	1923	2013	England
Peter Gay	1923	2015	Germany/US
Péter Kuczka	1923	1999	Hungary
Philip Whalen	1923	2002	US
Qu Bo	1923	2002	China
Rachel Waterhouse	1923	2020	England
Ren Rongrong	1923	*	China
Ricardo Garibay	1923	1999	Mexico
Richard Hugo	1923	1982	US
Richard Wollheim	1923	2003	England
Rosemary Harris	1923	2019	England
Ry Shiba	1923	1996	Japan
Ry Tamura	1923	1998	Japan
Sara Lidman	1923	2004	Sweden
Sh End	1923	1996	Japan
Shirley Kaufman	1923	2016	US/Israel
Stig Dagerman	1923	1954	Sweden
Tetsu Yano	1923	2004	Japan
Than Tun	1923	2005	Burma/Myanmar
Thea Beckman	1923	2004	Netherlands
Thelma Forshaw	1923	1995	Australia
Tuli Kupferberg	1923	2010	US
Urbano Tavares Rodrigues	1923	2013	Portugal
V. C. Andrews	1923	1986	US
Walter Jens	1923	2013	Germany
Walter M. Miller, Jr.	1923	1996	US
William Modisane	1923	1986	S Africa
Wisl/awa Szymborska	1923	2012	Poland
Ya Kemal	1923	2015	Turkey
Yves Bonnefoy	1923	2016	France
Ada Jafarey	1924	2015	India/Pakistan
Ada Jafri	1924	2015	India/Pakistan
Alan Davidson	1924	2003	N Ireland/England
Aleksandar Tisvma	1924	2003	Yugoslavia/Serbia
Alex La Guma	1924	1985	S Africa
Alexandre O'Neill	1924	1986	Portugal
Alieu Ebrima Cham Joof	1924	2011	Gambia
Alojz Rebula	1924	2018	Italy/Slovenia
Amílcar Cabral	1924	1973	Guinea-Bissau
Ana Kalandadze	1924	2008	USSR/Georgia
André du Bouchet	1924	2001	France
André Franquin	1924	1997	Belgium
Anis Mansour	1924	2011	Egypt
Anna Jacobsen	1924	2004	Norway
Anthony Earnshaw	1924	2001	England
Armand Gatti	1924	2017	Monaco/France
Árni Böðvarsson	1924	1992	Iceland
Augusta Jawara	1924	1981	Gambia
Boris Vasilyev	1924	2013	USSR/Russia
Bub Bridger	1924	2009	N Zealand
Bulat Okudzhava	1924	1997	USSR/Russia
Can Themba	1924	1967	S Africa
Charles Keeping	1924	1988	England
Chia-ying Yeh	1924	*	China/Canada
Chin Shunshin	1924	2015	Taiwan/Japan
Christopher Hibbert	1924	2008	England
Cid Corman	1924	2004	US
Claribel Alegría	1924	2018	Nicaragua
Claribel Alegría	1924	2018	Nicaragua/Salvador
Clive King	1924	2018	England
Colin Turnbull	1924	1994	England/US
David Ballantyne	1924	1986	N Zealand
David Rowbotham	1924	2010	Australia
Davidson Nicol	1924	1994	Sierra Leone
Dennis Brutus	1924	2009	S Africa
Diana Chang	1924	2009	US
Donald J. Sobol	1924	2012	US
Donald Jack	1924	2003	England/Canada
Douglas Reeman	1924	2017	England
Efua Sutherland	1924	1996	Gold Coast/Ghana
Ephraim Kishon	1924	2005	Hungary/Switzerland
Errol Brathwaite	1924	2005	N Zealand
Eugen Barbu	1924	1993	Romania
Fathy Ghanem	1924	1999	Egypt
Gerald A. Browne	1924	2015	US
Hans Daniel Namuhuja	1924	1998	SW Africa/Namibia
Houcine Toulali	1924	1998	Morocco
Hugh Atkinson	1924	1994	Australia
Idries Shah	1924	1996	India/England
Islwyn Ffowc Elis	1924	2004	Wales
James Baldwin	1924	1987	US
James Berry	1924	2017	Jamaica/England
Janet Frame	1924	2004	N Zealand
Jerzy Ficowski	1924	2006	Poland
Jin Yong	1924	2018	China
Jin Yong	1924	2018	China/Hong Kong
Joan Aiken	1924	2004	England
Joan de Hamel	1924	2011	England/N Zealand
Joe de Graft	1924	1978	Gold Coast/Ghana
Johannes Mario Simmel	1924	2009	Austria/Switzerland
John Bowen	1924	2019	England
John Ellis Williams	1924	2008	Wales
John Haines	1924	2011	US
John Lukacs	1924	2019	Hungary/US
Jónas Kristjánsson	1924	2014	Iceland
José Donoso	1924	1996	Chile
Josephine Pullein-Thompson	1924	2014	England
Junnosuke Yoshiyuki	1924	1994	Japan
K Abe	1924	1993	Japan
Kenneth Kaunda	1924	2021	Zambia
Kenneth Rose	1924	2014	England
Kevin Andrews	1924	1989	US
Lauris Edmond	1924	2000	N Zealand
Leon Uris	1924	2003	US
Lloyd Alexander	1924	2007	US
Lois Gladys Leppard	1924	2008	US
M. Gordon Wolman	1924	2010	US
Margaret Yorke	1924	2012	England
Marjorie Boulton	1924	2017	England
Mercedes Valdivieso	1924	1993	Chile
Michael Hamburger	1924	2007	Germany/England)
Michel Tournier	1924	1916	France
Mira Alecvkovic'	1924	2008	Yugoslavia/Serbia
Monica Clare	1924	1973	Australia
Mutesa II of Buganda	1924	1969	Uganda/England
Nancy Buckingham	1924	*	England
Nigel Buxton	1924	2015	England
Odd Abrahamsen	1924	2001	Norway
Orlanda Amarílis	1924	2014	Cape Verde
Osman Lins	1924	1978	Brazil
Pamela Brown	1924	1989	England
Patsy Adam-Smith	1924	2001	Australia
Paulette Cherici-Porello	1924	2018	Monaco
Pavle Ivic'	1924	1999	Yugoslavia
Petru Dumitriu	1924	2002	Romania/France
Philip Callow	1924	2007	England
R. I. Page	1924	2012	England
Richard Whittington-Egan	1924	2016	England
Robert Abernathy	1924	1990	US
Robert Bolt	1924	1995	England
Robert Peters	1924	2014	US
Rod Serling	1924	1975	US
Rosamunde Pilcher	1924	2019	England/Scotland
Salomon Isacovici	1924	1998	Romania/Ecuador
Salvat Etchart	1924	1985	France/Canada
Solomon Mutswairo	1924	2005	S Rhodesia/Zimbabwe
Stephen Gardiner	1924	2007	England
Subagio Sastrowardoyo	1924	1995	Dutch E Indies/Indonesia
Takaaki Yoshimoto	1924	2012	Japan
Terry Southern	1924	1995	US
Thakin Tin Mya	1924	2015	Burma/Myanmar
Tibor Méray	1924	2020	Hungary/France
Toyoko Yamasaki	1924	2013	Japan
Truman Capote	1924	1984	US
Vasil Bykau	1924	2003	USSR/Russia
Vassar Miller	1924	1998	US
Viktor Astafyev	1924	2001	USSR/Russia
Vincent Cronin	1924	2011	England
Vivien Alcock	1924	2003	England
Vladeta Jerotic'	1924	2018	Yugoslavia/Serbia
Walter Kaufmann	1924	2021	Germany/Australia
Wang Huo	1924	*	China
William H. Gass	1924	2017	US
Zundel Kroizer	1924	2014	Palestine/Israel
Aarudhra	1925	1998	India
Aarudhra	1925	1998	India
Abraham Louis Schneiders	1925	2020	Netherlands
Ahmad Shamlou	1925	2000	Iran
Ajmal Khattak	1925	1970	India/Pakistan
Al-Buzidi al-Bujrafi	1925	2011	Morocco
Ali Mohammad Afghani	1925	*	Iran
Alistair Campbell	1925	2009	N Zealand
Anatol E. Baconsky	1925	1977	Romania
Andrej Hieng	1925	2000	Yugoslavia/Slovenia
Andrey Sinyavsky	1925	1997	USSR/Russia
Anker Rogstad	1925	1994	Norway
Anthony Quinton	1925	2010	England
Ashfaq Ahmed	1925	2004	India/Pakistan
Attilâ 	1925	2005	Turkey
Bergljot Hobæk Haff	1925	2016	Norway
Bob Kaufman	1925	1986	US
Brian Aldiss	1925	2017	England
Carlos Castaneda	1925	1998	Peru/US
Carolyn Kizer	1925	2014	US
Charles E. Silberman	1925	2011	US
Christine Pullein-Thompson	1925	2005	England
Ciril Zlobec	1925	2018	Italy/Slovenia
Constantin Chiri	1925	1991	Romania
David James Bowen	1925	2017	Wales
Diana Pullein-Thompson	1925	2015	England
Dominick Dunne	1925	2009	US
Donald Justice	1925	2004	US
Dorothy Butler	1925	2015	N Zealand
Draginja Adamovic'	1925	2000	Yugoslavia/Serbia
Dudley Pope	1925	1997	England/Saint Martin
Edmund Wallace Hildick	1925	2001	England
Edward Ormondroyd	1925	*	US
Elaine Horseman	1925	1999	England
Eldred D. Jones	1925	2020	Sierra Leone
Elmore Leonard	1925	2013	US
Emmett Williams	1925	2007	US/Germany
Ennis Rees	1925	2009	US
Ernesto Cardenal	1925	2020	Nicaragua
Ernst Jandl	1925	2000	Austria
Eva Ibbotson	1925	2010	Austria/England
Eva Ramm	1925	*	Norway
Finn Carling	1925	2004	Norway
Flannery O'Connor	1925	1964	US
Francis A. Marzen	1925	2004	US
Francis Webb	1925	1973	Australia
Francisco Granizo Ribadeneira	1925	2009	Ecuador
Frank Tuohy	1925	1999	England
Frantz Fanon	1925	1961	Martinique/US
Gabriele Amorth	1925	2016	Italy
George MacDonald Fraser	1925	2008	England/Isle of Man
Gerald Durrell	1925	1995	Greece/Jersey
Gerald Stern	1925	*	US
Gilles Deleuze	1925	1995	France
Glória de Sant'Anna	1925	2009	Mozambique
Hanns Dieter Hüsch	1925	2005	Germany
Hans Peter Richter	1925	1993	Germany
Harold H. Carstens	1925	2009	US
Harold Strachan	1925	2020	S Africa
Haroldo Conti	1925	1976	
Harry Harrison	1925	2012	US/England
Heinz Piontek	1925	2003	Germany
Helena Anhava	1925	2018	Finland
Hildegard Knef	1925	2002	Germany
Ian Hamilton Finlay	1925	2006	Scotland
Idriss ibn al-Hassan al-Alami	1925	2007	Morocco
Íeda Herman	1925	2019	Iceland/US
Inge Müller	1925	1966	Germany
Intizar Hussain	1925	2016	India/Pakistan
J. Allan Bosworth	1925	1990	US
Jack Gilbert	1925	2012	US
Jacques Lacarrière	1925	2005	France
Jan Wolkers	1925	2007	Netherlands
Jean-Pierre Faye	1925	*	France
Jill Hellyer	1925	2011	Australia
John Bayley (writer)	1925	2015	England
John Briley	1925	2019	US
John Gordon	1925	2017	England
John Quigley	1925	*	Scotland
John Wain	1925	1994	England
José Cardoso Pires	1925	1998	Portugal
K Nakano	1925	2004	Japan
Katherine MacLean	1925	2019	US
Keith Laumer	1925	1993	US
Kenneth Koch	1925	2002	US
Kerstin Thorvall	1925	2010	Sweden
Khin Hnin Yu	1925	2003	Burma/Myanmar
Koshi Kurumizawa	1925	1994	Japan
Kunio Tsuji	1925	1999	Japan
László Nagy	1925	1978	Hungary
Laurence Collinson	1925	1986	England/Australia
Laurence Lerner	1925	2016	S Africa/England
Ljubomir Tadic'	1925	2013	Yugoslavia/Serbia
Luiz Pacheco	1925	2008	Portugal
Mahathir Mohamad	1925	*	Malaya/Malaysia
Manuela Margarido	1925	2007	São Tomé and Príncipe/Portugal
Masahiko Nomi	1925	1981	Japan
Maung Maung	1925	1994	Burma/Myanmar
Maxine Kumin	1925	2014	US
Michael Dummett	1925	2011	England
Michiko Nagai	1925	2023	Japan
Miep Diekmann	1925	2017	Netherlands
Mugo Gatheru	1925	2011	Kenya
Munier Choudhury	1925	1971	India/Bangladesh
Nina Bawden	1925	2012	England
Norris McWhirter	1925	2004	England
O. E. Middleton	1925	2010	N Zealand
Oliver Postgate	1925	2008	England
Pam Gems	1925	2011	England
Park Yong-rae	1925	1980	Korea/S Korea
Paul Biegel	1925	2006	Netherlands
Philip Effiong	1925	2003	Nigeria
Philip Turner	1925	2006	England
Philippe Daudy	1925	1994	France/England
Philippe Jaccottet	1925	2021	Switzerland
Pramoedya Ananta Toer	1925	2006	Dutch E Indies/Indonesia
Rafael Díaz Ycaza	1925	2013	Ecuador
Rashid Karim	1925	2011	India/Bangladesh
Robert Cormier	1925	2000	US
Robert J. Burch	1925	2007	US
Robin Levett	1925	2008	Australia
Roger Giroux	1925	1974	France
Rosario Castellanos	1925	1974	Mexico
Ross McWhirter	1925	1975	England
Ru Zhijuan	1925	1998	China
Rubem Fonseca	1925	2020	Brazil
Russell Hoban	1925	2011	US/England
Ruth First	1925	1982	S Africa/Mozambique
Said Achtouk	1925	1989	Morocco
Saiichi Maruya	1925	2012	Japan
Sugako Hashida	1925	2021	Japan
